time [UTC],Dan Murphy's,The Bottle-O,Thirstycamel
2021-08-01,20.0,0.0,5.0
2021-09-01,17.25,0.0,4.75
2021-10-01,16.8,0.0,4.8
2021-11-01,20.0,0.0,5.25
2021-12-01,39.75,0.5,9.75
2022-01-01,15.6,0.6,5.4
2022-02-01,17.75,0.5,4.75
2022-03-01,26.75,0.5,4.25
2022-04-01,53.0,0.75,6.75
2022-05-01,37.6,0.4,4.0
2022-06-01,39.5,0.25,4.0
2022-07-01,21.6,0.2,4.2
2022-08-01,24.25,0.25,4.0
2022-09-01,28.75,0.25,4.5
2022-10-01,24.8,0.2,4.0
2022-11-01,28.5,0.0,4.5
2022-12-01,59.25,0.5,8.25
2023-01-01,26.6,0.0,5.2
2023-02-01,23.0,0.0,4.25
2023-03-01,21.5,0.0,4.5
2023-04-01,27.0,0.2,6.0
2023-05-01,18.5,0.0,4.0
2023-06-01,19.25,0.0,4.25
2023-07-01,19.6,0.0,4.2
2023-08-01,21.25,0.0,4.0
2023-09-01,24.0,0.0,5.0
2023-10-01,24.2,0.2,4.4
2023-11-01,27.25,0.0,5.0
2023-12-01,45.8,0.6,7.8
2024-01-01,21.75,0.0,5.25
2024-02-01,18.5,0.25,4.5
2024-03-01,21.2,0.2,5.4
2024-04-01,18.5,0.0,4.75
2024-05-01,16.5,0.0,4.0
2024-06-01,15.2,0.2,4.0
2024-07-01,15.5,0.0,4.0
2024-08-01,15.25,0.0,4.5
2024-09-01,16.0,0.0,4.6
2024-10-01,15.5,0.25,4.75
2024-11-01,17.0,0.0,4.25
2024-12-01,34.2,0.4,8.0
2025-01-01,14.75,0.0,5.25
2025-02-01,13.75,0.0,4.25
2025-03-01,13.8,0.0,4.2
