time [UTC],Vittoria Coffee,Seven Miles,Single O,Suntory Boss Coffee,Toby's Estate
2021-08-01,40.0,0.0,0.0,0.0,0.0
2021-09-01,27.0,5.75,0.0,0.0,0.0
2021-10-01,0.0,6.0,4.4,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0
2022-01-01,0.0,14.0,0.0,7.6,0.0
2022-02-01,0.0,4.25,0.0,0.0,0.0
2022-03-01,0.0,17.0,0.0,0.0,0.0
2022-04-01,4.5,12.25,0.0,0.0,0.0
2022-05-01,3.8,9.0,0.0,0.0,0.0
2022-06-01,0.0,13.75,0.0,0.0,0.0
2022-07-01,0.0,16.6,4.2,0.0,0.0
2022-08-01,0.0,6.75,0.0,0.0,0.0
2022-09-01,0.0,15.5,0.0,0.0,0.0
2022-10-01,0.0,11.4,0.0,0.0,0.0
2022-11-01,0.0,9.25,0.0,0.0,0.0
2022-12-01,0.0,12.5,0.0,0.0,0.0
2023-01-01,0.0,21.0,0.0,0.0,0.0
2023-02-01,0.0,15.25,0.0,0.0,0.0
2023-03-01,36.25,13.0,0.0,0.0,0.0
2023-04-01,65.8,24.8,0.0,0.0,4.8
2023-05-01,46.5,19.0,0.0,0.0,0.0
2023-06-01,39.25,16.25,0.0,0.0,0.0
2023-07-01,52.0,18.8,0.0,4.0,0.0
2023-08-01,52.25,10.75,0.0,0.0,0.0
2023-09-01,47.5,6.75,0.0,0.0,0.0
2023-10-01,55.2,13.4,0.0,0.0,0.0
2023-11-01,77.25,25.5,0.0,0.0,0.0
2023-12-01,54.4,19.0,0.0,0.0,0.0
2024-01-01,45.75,15.0,0.0,0.0,0.0
2024-02-01,59.75,21.75,0.0,0.0,0.0
2024-03-01,62.2,15.0,0.0,0.0,0.0
2024-04-01,64.5,11.5,0.0,0.0,0.0
2024-05-01,55.25,16.75,0.0,0.0,0.0
2024-06-01,63.0,19.6,0.0,0.0,0.0
2024-07-01,61.25,16.5,0.0,4.5,0.0
2024-08-01,42.0,17.25,0.0,0.0,0.0
2024-09-01,36.4,19.8,0.0,0.0,0.0
2024-10-01,47.0,17.0,0.0,0.0,0.0
2024-11-01,72.25,14.5,0.0,0.0,0.0
2024-12-01,60.0,24.4,0.0,0.0,0.0
2025-01-01,71.25,20.0,0.0,0.0,0.0
2025-02-01,65.25,10.25,0.0,0.0,0.0
2025-03-01,52.4,13.0,0.0,0.0,0.0
