time [UTC],BWS,The Bottle-O,Thirstycamel
2021-08-01,36.0,0.0,0.0
2021-09-01,32.5,0.0,0.0
2021-10-01,33.2,0.0,0.0
2021-11-01,34.0,0.0,0.0
2021-12-01,67.25,0.0,0.0
2022-01-01,30.8,0.0,0.0
2022-02-01,27.0,0.0,0.0
2022-03-01,26.25,0.0,0.0
2022-04-01,37.5,0.0,0.0
2022-05-01,26.6,0.0,0.0
2022-06-01,29.0,0.0,0.0
2022-07-01,26.0,0.0,0.0
2022-08-01,27.0,0.0,0.0
2022-09-01,32.0,0.0,0.0
2022-10-01,27.6,0.0,0.0
2022-11-01,30.25,0.0,0.0
2022-12-01,61.0,0.0,0.0
2023-01-01,33.0,0.0,0.0
2023-02-01,27.25,0.0,0.0
2023-03-01,27.25,0.0,0.0
2023-04-01,33.8,0.0,0.0
2023-05-01,25.25,0.0,0.0
2023-06-01,26.0,0.0,0.0
2023-07-01,27.0,0.0,0.0
2023-08-01,26.5,0.0,0.0
2023-09-01,29.0,0.0,0.0
2023-10-01,28.0,0.0,0.0
2023-11-01,30.25,0.0,0.0
2023-12-01,53.8,0.0,0.0
2024-01-01,29.5,0.0,0.0
2024-02-01,27.0,0.0,0.0
2024-03-01,31.2,0.0,0.0
2024-04-01,27.5,0.0,0.0
2024-05-01,25.75,0.0,0.0
2024-06-01,25.4,0.0,0.0
2024-07-01,25.5,0.0,0.0
2024-08-01,26.5,0.0,0.0
2024-09-01,26.4,0.0,0.0
2024-10-01,26.25,0.0,0.0
2024-11-01,27.25,0.0,0.0
2024-12-01,50.8,0.0,0.0
2025-01-01,26.5,0.0,0.0
2025-02-01,24.5,0.0,0.0
2025-03-01,24.4,0.0,0.0
