time [UTC],Avène,Dr Dennis Gross,Go-To,La Roche-Posay,QR8 Mediskin
2021-08-01,9.0,4.0,0.0,29.0,0.0
2021-09-01,9.0,3.25,0.0,30.0,0.0
2021-10-01,8.2,3.4,0.0,24.8,0.0
2021-11-01,7.5,3.5,0.0,25.5,0.0
2021-12-01,7.0,2.75,0.0,25.0,0.0
2022-01-01,8.0,3.8,0.0,26.2,0.0
2022-02-01,7.5,3.5,0.0,25.75,0.0
2022-03-01,7.25,3.5,0.0,25.25,0.0
2022-04-01,8.5,3.0,0.0,24.75,0.0
2022-05-01,7.8,3.0,0.0,27.6,0.0
2022-06-01,8.25,3.25,5.0,30.5,0.0
2022-07-01,11.4,3.6,5.8,42.0,0.0
2022-08-01,10.5,4.5,6.5,41.0,0.0
2022-09-01,9.75,4.75,5.75,47.25,0.0
2022-10-01,9.0,4.8,6.0,41.0,0.0
2022-11-01,10.75,4.25,7.5,45.75,0.0
2022-12-01,10.0,4.75,7.0,44.25,0.0
2023-01-01,10.0,4.6,4.2,43.8,0.0
2023-02-01,9.5,3.75,3.25,38.75,0.25
2023-03-01,9.0,3.75,4.0,35.25,0.0
2023-04-01,10.8,5.0,5.6,37.2,0.0
2023-05-01,13.25,4.5,4.0,43.25,0.0
2023-06-01,11.5,4.25,5.5,45.75,0.0
2023-07-01,13.4,5.0,3.8,51.4,0.0
2023-08-01,16.0,5.75,3.75,47.5,0.0
2023-09-01,16.0,4.5,3.5,53.5,0.0
2023-10-01,13.6,4.4,4.4,45.4,0.0
2023-11-01,13.25,5.25,5.75,49.25,0.0
2023-12-01,12.2,5.6,4.4,48.6,0.0
2024-01-01,16.0,5.5,3.25,67.25,0.25
2024-02-01,12.0,4.75,3.25,46.5,0.0
2024-03-01,13.2,4.8,2.8,48.2,0.0
2024-04-01,15.25,4.25,2.75,45.25,0.0
2024-05-01,13.5,4.25,3.5,49.0,0.0
2024-06-01,13.0,3.4,4.0,50.0,0.0
2024-07-01,15.5,5.5,3.25,51.0,0.0
2024-08-01,13.25,4.5,3.25,49.5,0.0
2024-09-01,14.4,4.2,2.8,56.2,0.0
2024-10-01,13.25,4.25,4.25,52.5,0.0
2024-11-01,14.75,5.0,5.75,59.5,0.0
2024-12-01,12.6,4.8,4.0,52.6,0.0
2025-01-01,15.0,5.25,3.0,60.0,0.0
2025-02-01,12.25,4.0,2.5,46.5,0.0
2025-03-01,11.0,4.2,2.8,49.8,0.0
