category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Skincare,Avène,2021-08-01,9.0,9.0,0,1.0,
Skincare,Avène,2021-09-01,9.0,9.0,0,1.0,
Skincare,Avène,2021-10-01,8.2,8.2,0,1.0,
Skincare,Avène,2021-11-01,7.5,7.5,0,1.0,
Skincare,Avène,2021-12-01,7.0,7.0,0,1.0,
Skincare,Avène,2022-01-01,8.0,8.0,0,1.0,
Skincare,Avène,2022-02-01,7.5,7.5,0,1.0,
Skincare,Avène,2022-03-01,7.25,7.25,0,1.0,
Skincare,Avène,2022-04-01,8.5,8.5,0,1.0,
Skincare,Avène,2022-05-01,7.8,7.8,0,1.0,
Skincare,Avène,2022-06-01,8.25,8.25,0,1.0,
Skincare,Avène,2022-07-01,11.4,11.4,0,1.0,
Skincare,Avène,2022-08-01,10.5,10.5,0,1.0,
Skincare,Avène,2022-09-01,9.75,9.75,0,1.0,
Skincare,Avène,2022-10-01,9.0,9.0,0,1.0,
Skincare,Avène,2022-11-01,10.75,10.75,0,1.0,
Skincare,Avène,2022-12-01,10.0,10.0,0,1.0,
Skincare,Avène,2023-01-01,10.0,10.0,0,1.0,
Skincare,Avène,2023-02-01,9.5,9.5,0,1.0,
Skincare,Avène,2023-03-01,9.0,9.0,0,1.0,
Skincare,Avène,2023-04-01,10.8,10.8,0,1.0,
Skincare,Avène,2023-05-01,13.25,13.25,0,1.0,
Skincare,Avène,2023-06-01,11.5,11.5,0,1.0,
Skincare,Avène,2023-07-01,13.4,13.4,0,1.0,
Skincare,Avène,2023-08-01,16.0,16.0,0,1.0,
Skincare,Avène,2023-09-01,16.0,16.0,0,1.0,
Skincare,Avène,2023-10-01,13.6,13.6,0,1.0,
Skincare,Avène,2023-11-01,13.25,13.25,0,1.0,
Skincare,Avène,2023-12-01,12.2,12.2,0,1.0,
Skincare,Avène,2024-01-01,16.0,16.0,0,1.0,
Skincare,Avène,2024-02-01,12.0,12.0,0,1.0,
Skincare,Avène,2024-03-01,13.2,13.2,0,1.0,
Skincare,Avène,2024-04-01,15.25,15.25,0,1.0,
Skincare,Avène,2024-05-01,13.5,13.5,0,1.0,
Skincare,Avène,2024-06-01,13.0,13.0,0,1.0,
Skincare,Avène,2024-07-01,15.5,15.5,0,1.0,
Skincare,Avène,2024-08-01,13.25,13.25,0,1.0,
Skincare,Avène,2024-09-01,14.4,14.4,0,1.0,
Skincare,Avène,2024-10-01,13.25,13.25,0,1.0,
Skincare,Avène,2024-11-01,14.75,14.75,0,1.0,
Skincare,Avène,2024-12-01,12.6,12.6,0,1.0,
Skincare,Avène,2025-01-01,15.0,15.0,0,1.0,
Skincare,Avène,2025-02-01,12.25,12.25,0,1.0,
Skincare,Avène,2025-03-01,11.0,11.0,0,1.0,
Skincare,Dr Dennis Gross,2021-08-01,4.0,4.0,0,1.0,
Skincare,Dr Dennis Gross,2021-09-01,3.25,3.25,0,1.0,
Skincare,Dr Dennis Gross,2021-10-01,3.4,3.4,0,1.0,
Skincare,Dr Dennis Gross,2021-11-01,3.5,3.5,0,1.0,
Skincare,Dr Dennis Gross,2021-12-01,2.75,2.75,0,1.0,
Skincare,Dr Dennis Gross,2022-01-01,3.8,3.8,0,1.0,
Skincare,Dr Dennis Gross,2022-02-01,3.5,3.5,0,1.0,
Skincare,Dr Dennis Gross,2022-03-01,3.5,3.5,0,1.0,
Skincare,Dr Dennis Gross,2022-04-01,3.0,3.0,0,1.0,
Skincare,Dr Dennis Gross,2022-05-01,3.0,3.0,0,1.0,
Skincare,Dr Dennis Gross,2022-06-01,3.25,3.25,0,1.0,
Skincare,Dr Dennis Gross,2022-07-01,3.6,3.6,0,1.0,
Skincare,Dr Dennis Gross,2022-08-01,4.5,4.5,0,1.0,
Skincare,Dr Dennis Gross,2022-09-01,4.75,4.75,0,1.0,
Skincare,Dr Dennis Gross,2022-10-01,4.8,4.8,0,1.0,
Skincare,Dr Dennis Gross,2022-11-01,4.25,4.25,0,1.0,
Skincare,Dr Dennis Gross,2022-12-01,4.75,4.75,0,1.0,
Skincare,Dr Dennis Gross,2023-01-01,4.6,4.6,0,1.0,
Skincare,Dr Dennis Gross,2023-02-01,3.75,3.75,0,1.0,
Skincare,Dr Dennis Gross,2023-03-01,3.75,3.75,0,1.0,
Skincare,Dr Dennis Gross,2023-04-01,5.0,5.0,0,1.0,
Skincare,Dr Dennis Gross,2023-05-01,4.5,4.5,0,1.0,
Skincare,Dr Dennis Gross,2023-06-01,4.25,4.25,0,1.0,
Skincare,Dr Dennis Gross,2023-07-01,5.0,5.0,0,1.0,
Skincare,Dr Dennis Gross,2023-08-01,5.75,5.75,0,1.0,
Skincare,Dr Dennis Gross,2023-09-01,4.5,4.5,0,1.0,
