time [UTC],OMO,Woolite
2021-08-01,39.0,0.0
2021-09-01,44.25,0.0
2021-10-01,37.6,0.0
2021-11-01,43.5,0.0
2021-12-01,44.75,0.0
2022-01-01,51.2,0.0
2022-02-01,49.0,0.0
2022-03-01,47.75,0.0
2022-04-01,58.25,0.0
2022-05-01,55.6,0.0
2022-06-01,50.75,0.0
2022-07-01,61.8,0.0
2022-08-01,52.75,0.0
2022-09-01,53.25,0.0
2022-10-01,57.4,0.0
2022-11-01,55.75,0.0
2022-12-01,54.0,0.0
2023-01-01,60.6,0.0
2023-02-01,59.75,0.0
2023-03-01,58.5,0.0
2023-04-01,79.4,0.0
2023-05-01,70.25,0.0
2023-06-01,69.0,0.0
2023-07-01,74.0,0.0
2023-08-01,64.0,0.0
2023-09-01,85.0,0.0
2023-10-01,73.4,0.0
2023-11-01,69.0,0.0
2023-12-01,77.8,0.0
2024-01-01,79.25,0.0
2024-02-01,74.5,0.0
2024-03-01,70.6,0.0
2024-04-01,76.75,0.0
2024-05-01,71.0,0.0
2024-06-01,67.8,0.0
2024-07-01,77.5,0.0
2024-08-01,70.5,0.0
2024-09-01,66.8,0.0
2024-10-01,67.5,0.0
2024-11-01,69.75,0.0
2024-12-01,76.8,0.0
2025-01-01,78.25,0.0
2025-02-01,74.75,0.0
2025-03-01,67.6,0.0
