time [UTC],Spotify,Wondery,YouTube,iHeartRadio
2021-08-01,0.0,0.0,96.0,0.0
2021-09-01,0.0,0.0,95.0,0.0
2021-10-01,0.0,0.0,91.6,0.0
2021-11-01,0.0,0.0,83.75,0.0
2021-12-01,0.0,0.0,88.25,0.0
2022-01-01,0.0,0.0,87.0,0.0
2022-02-01,0.0,0.0,90.0,0.0
2022-03-01,0.0,0.0,89.5,0.0
2022-04-01,0.0,0.0,90.5,0.0
2022-05-01,0.0,0.0,96.2,0.0
2022-06-01,0.0,0.0,96.75,0.0
2022-07-01,0.0,0.0,91.6,0.0
2022-08-01,0.0,0.0,91.75,0.0
2022-09-01,0.0,0.0,91.25,0.0
2022-10-01,0.0,0.0,92.4,0.0
2022-11-01,0.0,0.0,89.0,0.0
2022-12-01,0.0,0.0,88.5,0.0
2023-01-01,0.0,0.0,83.4,0.0
2023-02-01,0.0,0.0,90.75,0.0
2023-03-01,0.0,0.0,91.5,0.0
2023-04-01,1.2,0.0,87.4,0.0
2023-05-01,1.0,0.0,88.5,0.0
2023-06-01,0.5,0.0,86.25,0.0
2023-07-01,0.8,0.0,87.0,0.0
2023-08-01,1.0,0.0,89.75,0.0
2023-09-01,1.0,0.0,89.25,0.0
2023-10-01,1.2,0.0,91.0,0.0
2023-11-01,1.0,0.0,89.5,0.0
2023-12-01,3.8,0.0,85.0,0.0
2024-01-01,4.25,0.0,81.75,0.0
2024-02-01,5.75,0.0,88.0,0.0
2024-03-01,4.8,0.0,89.4,0.2
2024-04-01,1.0,0.0,87.5,0.0
2024-05-01,1.5,0.0,89.0,0.0
2024-06-01,3.6,0.0,83.6,0.0
2024-07-01,4.25,0.0,81.5,0.0
2024-08-01,1.5,0.0,86.75,0.0
2024-09-01,0.0,0.0,86.0,0.0
2024-10-01,7.75,0.0,87.5,0.0
2024-11-01,11.25,0.0,86.25,0.0
2024-12-01,14.2,0.0,84.8,0.0
2025-01-01,9.5,0.0,81.25,0.0
2025-02-01,11.75,0.0,89.75,0.0
2025-03-01,11.6,0.0,91.8,0.2
